"关键词","排名","排名变动","指数","结果数","流行度"
"Clipora","1","0","0","1","0"
"网页存档","3","0","0","3","5"
"保存快照","9","0","0","9","5"
"云存档","11","0","4602","11","5"
"网页快照","12","0","0","14","5"
"拾回顾","12","0","0","13","0"
"找文章","16","0","0","16","5"
"苍云阅读","17","0","5744","17","5"
"保存文章","17","0","0","21","5"
"苍云阅读官网","17","0","0","17","5"
"知识整理","18","0","0","30","5"
"有軌","18","0","0","26","5"
"收藏网页app","18","0","0","22","5"
"知识仓","18","0","0","19","5"
"文章稍后","18","0","0","19","5"
"收藏文章","18","0","0","19","5"
"文章收藏","19","0","0","20","5"
"網頁收藏","20","0","0","22","5"
"收藏网页","21","0","0","25","5"
"YOU标注","21","0","0","21","5"
"网页收藏","22","0","0","23","5"
"阅读全文","22","0","0","22","5"
"保存收藏","23","0","0","27","5"
"有轨","24","0","0","33","5"
"shaohouyuedu","24","0","0","26","0"
"建仓助手","26","0","0","27","5"
"文章管理","27","0","0","29","5"
"网页笔记","29","0","0","31","5"
"AI笔记整理助手","30","0","0","30","0"
"标注助手","31","0","0","34","5"
"保存网页","32","0","0","36","5"
"知识收藏","33","0","4678","34","5"
"陈金狮","34","0","0","40","5"
"快收藏","34","0","0","39","5"
"沉浸式阅读","34","0","0","34","5"
"离线网页阅读","35","0","0","39","5"
"稍后月度","35","0","0","37","5"
"高粱","37","0","0","39","5"
"网页离线","37","0","0","39","5"
"下载离线网页","38","0","0","40","5"
"离线网页下载","38","0","0","40","5"
"稍后阅读app","38","0","0","40","5"
"ai标注","39","2","0","40","5"
"在线知识阅读","39","0","0","45","5"
"离线网页浏览器","40","0","423","43","5"
"高亮","40","0","0","44","5"
"免费全文","40","0","0","42","5"
"沉浸阅读","40","0","0","40","5"
"仓阅读","42","0","0","42","5"
"整理笔记的app","43","0","0","46","5"
"沉浸式AI翻译","43","0","0","43","5"
"Ai沉浸式翻译","43","0","0","43","0"
"助手管理知识","45","0","0","51","5"
"助手知识管理","45","0","0","51","5"
"优立仓","46","1","0","48","5"
"惠顾","46","0","0","51","5"
"回鹘","46","0","0","51","5"
"huigu","46","0","0","51","5"
"沉浸式翻译器","46","0","0","46","0"
"immersive translate","47","-1","4631","49","22"
"沉浸式翻译app","47","0","0","47","5"
"yougui","48","0","0","103","5"
"收藏整理","48","0","0","56","5"
"收藏云","48","0","0","55","5"
"阅读笔记助手","49","0","0","50","5"
"知识管理笔记","50","0","0","55","5"
"shaohou","50","0","0","53","0"
"苍云剑","50","0","0","52","5"
"云知识管理","51","0","0","56","5"
"苍云剑道","51","0","0","53","5"
"苍云剑道苍云剑道","51","0","0","53","0"
"AI 知识库","52","0","0","55","0"
"助手知识云","52","0","0","53","5"
"助手云知识","52","0","0","53","5"
"笔记标注","52","0","0","52","5"
"沈浸式翻譯","52","0","0","52","5"
"沉浸式翻译","53","-1","6480","53","45"
"文章笔记app","54","0","0","59","5"
"云上石仓","54","0","0","55","5"
"稍后","55","0","0","59","5"
"存档","58","0","4605","63","5"
"存檔","58","0","0","64","5"
"阅读收藏","59","0","0","61","5"
"沉浸翻译","61","0","0","63","5"
"网页阅读辅助","62","0","0","67","5"
"收藏笔记","67","0","0","70","5"
"云间阅读","68","0","0","68","5"
"鲜时阅读","69","0","0","69","5"
"云保存","69","0","0","69","5"
"网页保存","70","1","0","102","5"
"健葆存","71","1","0","78","5"
"青梨阅读助手","71","0","0","73","0"
"网页云阅读","72","0","0","72","5"
"闲时阅读","72","0","0","72","5"
"kuaizhao","73","0","0","87","5"
"找仓","74","0","0","74","5"
"工具知识云","75","0","0","79","5"
"工具云知识","75","0","0","79","5"
"AI助手-只是","76","0","0","80","5"
"快仓","78","0","0","80","5"
"快三阅读助手","79","0","0","79","5"
"在线网页翻译","80","0","0","83","5"
"快阅读助手","80","0","0","80","5"
"网页工具助手","81","0","0","85","5"
"网页翻译浏览器","81","0","0","82","5"
"快 阅读助手","81","0","0","81","5"
"快        阅读助手","81","0","0","81","5"
"AI 沉浸式","83","0","0","84","5"
"手机网页翻译","83","-1","0","85","5"
"市收藏","85","0","0","95","5"
"整理师的","86","0","0","90","5"
"工具管理知识","87","0","0","100","5"
"工具知识管理","87","0","0","100","5"
"知识管理工具","87","0","0","100","5"
"回顧","87","0","0","91","5"
"網頁翻譯","87","0","0","88","5"
"ai云笔记","88","2","0","88","5"
"回顾","88","0","0","94","5"
"收藏效率","89","0","0","109","5"
"藏翻译","89","0","0","89","5"
"AI网页","90","0","0","101","0"
"每日优鲜沧口站","90","-1","0","90","5"
"离线印象笔记","91","0","0","98","5"
"超简云笔记","92","0","0","93","5"
"每日优鲜微仓","92","-2","0","92","5"
"仓助手","93","1","0","94","5"
"鲜仓优库","93","0","0","93","5"
"网页 监","95","0","0","107","5"
"只是笔迹","95","0","0","106","5"
"云招助手","96","0","0","98","5"
"您快","99","0","0","112","5"
"网页助手hd","101","0","0","108","5"
"网页翻译器","101","0","0","103","5"
"yongzin","101","0","0","102","5"
"快藏","104","2","0","107","5"
"收藏管理","104","-2","0","123","5"
"ZHISHIKU","105","0","0","125","0"
"网页助手","105","0","0","111","5"
"食间仓","105","0","0","106","5"
"助手工具知识","109","0","0","125","5"
"十间仓","109","0","0","111","5"
"ai云翻译","110","0","0","112","5"
"时减仓","110","0","0","111","5"
"苍里","111","0","0","114","0"
"苍立","112","-1","0","115","5"
"苍黎","113","-1","0","116","5"
"只是笔记","113","-2","0","121","5"
"网站翻译","114","0","6187","115","5"
"文章阅读网","116","0","0","128","5"
"助手知识工具","116","0","0","126","5"
"工具知识助手","116","0","0","126","5"
"工具助手知识","116","0","0","126","5"
"shi'jian'cang","116","0","0","118","5"
"仓吏","118","新进榜","0","118","5"
"邹云","118","0","0","125","5"
"阅读文章","120","0","0","131","5"
"管理舱","120","0","0","126","5"
"丽仓","120","0","0","121","5"
"biaozhu","124","0","0","125","5"
"快照助手","127","0","0","138","5"
"笔记知识","128","0","0","145","5"
"笔记整理app","131","1","0","136","5"
"知识笔记","131","0","0","148","5"
"阅读笔记工具","131","0","0","134","5"
"笔记整理","133","1","5467","138","5"
"cang管理","134","0","0","140","5"
"整理笔记","134","0","0","139","5"
"块笔记","137","0","0","142","5"
"快立得云印刷","137","0","0","139","5"
"贵人运势","143","0","0","143","5"
"线上管理助手","151","0","0","160","5"
"离您","152","1","0","161","5"
"云贵优","155","1","0","164","5"
"专属助手","156","-1","4630","167","5"
"離您","160","0","0","164","5"
"AI阅读助手","167","0","0","172","5"
"整理是","167","0","0","172","5"
"免费知识管理","176","0","0","207","5"
"标注工具","177","0","0","180","5"
"免费管理知识","181","0","0","207","5"
"ai笔记助手","187","0","0","194","5"
"免费知识云","198","0","0","208","5"
"免费云知识","198","0","0","208","5"
"免费助手知识","206","0","0","209","5"
"免费知识助手","206","0","0","209","5"
"助手知识免费","206","0","0","209","5"
"助手免费知识","206","0","0","209","5"
